Teacher_ID,Full_Name,Gender,Country,Primary_Subject,Secondary_Subject,Education_Level,Years_of_Experience,Teaching_Style,Certifications,Availability,Language,Student_Rating,Courses_Taught,Is_Research_Active,Email
T00050,Cynthia Baker,Male,Canada,Chemistry,Philosophy,Masters,8,Interactive,M.Ed,Part-time,Mandarin,4.89,36,True,cynthia.baker@example.edu
T00051,Melinda Rivera,Female,Australia,English,Biology,PhD,38,Hybrid,M.Ed,Full-time,German,4.16,83,False,melinda.rivera@example.edu
T00052,Melissa Garcia,Female,France,Computer Science,English,Bachelors,38,Interactive,PGCE,Part-time,English,4.04,24,True,melissa.garcia@example.edu
T00053,Sandra Mullins,Male,Australia,Mathematics,Economics,Bachelors,34,Hybrid,M.Ed,Full-time,German,4.87,32,True,sandra.mullins@example.edu
T00054,Scott Rice,Male,India,Philosophy,Computer Science,Bachelors,28,Hybrid,Online Certifications,Visiting,English,4.12,63,True,scott.rice@example.edu
T00055,Adam Williams,Female,USA,Geography,Philosophy,Bachelors,25,Lecture-based,B.Ed,Full-time,German,4.56,44,True,adam.williams@example.edu
T00056,Barbara Blair,Male,Canada,Philosophy,History,Bachelors,30,Lecture-based,Online Certifications,Full-time,French,2.86,71,False,barbara.blair@example.edu
T00057,Kelsey Fisher,Non-Binary,UK,Geography,English,PhD,2,Flipped Classroom,B.Ed,Visiting,Mandarin,3.03,25,False,kelsey.fisher@example.edu
T00058,Caitlin Hurst,Non-Binary,Germany,Economics,Geography,Bachelors,40,Flipped Classroom,Online Certifications,Part-time,Mandarin,3.95,97,False,caitlin.hurst@example.edu
T00059,Kelly Obrien,Female,India,Economics,Economics,PhD,18,Hybrid,M.Ed,Visiting,French,3.96,91,False,kelly.obrien@example.edu
T00060,Margaret Deleon,Female,USA,Geography,Mathematics,PhD,11,Flipped Classroom,Online Certifications,Part-time,English,4.55,13,False,margaret.deleon@example.edu
T00061,Mr. Aaron Maxwell,Male,USA,History,Computer Science,Bachelors,3,Hybrid,B.Ed,Visiting,French,3.25,77,True,mr..aaron.maxwell@example.edu
T00062,Victor Hanson,Non-Binary,Germany,History,Geography,PhD,19,Lecture-based,PGCE,Visiting,German,3.14,57,True,victor.hanson@example.edu
T00063,Alyssa Torres,Non-Binary,Canada,Philosophy,Philosophy,Masters,22,Interactive,Online Certifications,Full-time,French,3.03,64,True,alyssa.torres@example.edu
T00064,Trevor Green,Non-Binary,India,Computer Science,Philosophy,Masters,13,Project-based,B.Ed,Part-time,French,3.98,67,False,trevor.green@example.edu
T00065,John Moore,Non-Binary,India,English,Chemistry,PhD,24,Lecture-based,M.Ed,Part-time,French,2.98,96,False,john.moore@example.edu
T00066,Tyler Scott,Female,Germany,Philosophy,English,PhD,34,Interactive,Online Certifications,Visiting,German,3.35,11,True,tyler.scott@example.edu
T00067,Andrea Stephenson,Non-Binary,UK,History,Geography,Masters,22,Flipped Classroom,None,Full-time,English,4.59,73,True,andrea.stephenson@example.edu
T00068,Rebecca Cook,Male,USA,Economics,Economics,Bachelors,11,Flipped Classroom,B.Ed,Full-time,Mandarin,4.16,85,True,rebecca.cook@example.edu
T00069,Stephanie Barnes,Female,USA,Geography,Computer Science,PhD,13,Lecture-based,B.Ed,Part-time,German,4.64,81,False,stephanie.barnes@example.edu
T00070,Donna Hall,Male,Germany,English,Geography,Bachelors,1,Hybrid,TESOL,Full-time,Spanish,3.43,30,True,donna.hall@example.edu
T00071,Kayla Sims,Female,Canada,Biology,Mathematics,PhD,31,Interactive,M.Ed,Visiting,French,4.67,57,True,kayla.sims@example.edu
T00072,Jennifer Fischer,Non-Binary,USA,Geography,Mathematics,Masters,18,Hybrid,M.Ed,Visiting,German,3.69,63,False,jennifer.fischer@example.edu
T00073,Tammie Lewis,Female,UK,English,Computer Science,PhD,22,Hybrid,None,Visiting,German,3.38,82,True,tammie.lewis@example.edu
T00074,Diana Meyer,Male,UK,History,History,PhD,31,Hybrid,M.Ed,Visiting,English,4.83,59,True,diana.meyer@example.edu
T00075,Laura Sparks,Non-Binary,France,Physics,Physics,PhD,7,Flipped Classroom,M.Ed,Full-time,Mandarin,4.64,33,True,laura.sparks@example.edu
T00076,Jeffrey Ayala,Non-Binary,USA,Economics,Chemistry,Bachelors,27,Flipped Classroom,B.Ed,Part-time,Spanish,4.53,63,False,jeffrey.ayala@example.edu
T00077,Krystal Lopez,Non-Binary,UK,Chemistry,Physics,PhD,4,Lecture-based,B.Ed,Full-time,English,4.98,50,False,krystal.lopez@example.edu
T00078,Mrs. Natasha Smith,Male,India,English,Biology,Masters,30,Lecture-based,PGCE,Part-time,French,3.55,73,True,mrs..natasha.smith@example.edu
T00079,Ryan Miller,Male,UK,Computer Science,History,PhD,17,Lecture-based,TESOL,Visiting,German,3.59,68,True,ryan.miller@example.edu
T00080,Shawn Mckinney,Non-Binary,USA,Physics,Biology,Masters,40,Lecture-based,Online Certifications,Full-time,English,2.93,56,True,shawn.mckinney@example.edu
T00081,Kevin Thomas,Male,Germany,Philosophy,Mathematics,Masters,27,Interactive,Online Certifications,Full-time,German,4.65,78,True,kevin.thomas@example.edu
T00082,Alexandra Hart,Female,Germany,History,Economics,Bachelors,2,Hybrid,Online Certifications,Full-time,Mandarin,4.82,90,False,alexandra.hart@example.edu
T00083,Rebecca Chambers,Female,France,History,History,PhD,3,Project-based,B.Ed,Full-time,French,4.37,66,False,rebecca.chambers@example.edu
T00084,Richard Wells,Female,India,Mathematics,Geography,Bachelors,24,Hybrid,PGCE,Visiting,Mandarin,3.4,29,True,richard.wells@example.edu
T00085,Rachel Lindsey,Non-Binary,France,Biology,Philosophy,PhD,40,Project-based,B.Ed,Part-time,Mandarin,4.29,91,False,rachel.lindsey@example.edu
T00086,Felicia Schneider,Male,Australia,Physics,Geography,Bachelors,4,Flipped Classroom,M.Ed,Part-time,German,3.5,62,True,felicia.schneider@example.edu
T00087,Justin Andrade,Female,Canada,Physics,Chemistry,PhD,38,Project-based,None,Visiting,English,3.5,95,False,justin.andrade@example.edu
T00088,Ashley Armstrong,Male,Germany,Chemistry,Mathematics,PhD,8,Hybrid,M.Ed,Part-time,French,4.27,48,False,ashley.armstrong@example.edu
T00089,Joel Jones,Non-Binary,Germany,Geography,Geography,Bachelors,32,Project-based,B.Ed,Full-time,Spanish,2.65,42,True,joel.jones@example.edu
T00090,Andre Jones,Male,France,Geography,Philosophy,Bachelors,11,Flipped Classroom,Online Certifications,Full-time,English,3.92,36,True,andre.jones@example.edu
T00091,Erica Nelson,Male,Germany,History,Economics,Masters,33,Hybrid,PGCE,Full-time,German,3.58,23,True,erica.nelson@example.edu
T00092,Jason Ayala,Male,Canada,Biology,History,Bachelors,14,Interactive,TESOL,Full-time,German,4.14,21,True,jason.ayala@example.edu
T00093,Margaret Clark,Non-Binary,Canada,Geography,History,Bachelors,15,Interactive,PGCE,Full-time,English,3.14,15,False,margaret.clark@example.edu
T00094,Charles Hernandez,Female,India,Physics,Economics,Masters,13,Hybrid,B.Ed,Full-time,English,3.12,99,False,charles.hernandez@example.edu
T00095,Maria Cochran,Male,Germany,Chemistry,Mathematics,Masters,3,Interactive,Online Certifications,Full-time,German,3.16,70,True,maria.cochran@example.edu
T00096,Jeffrey Edwards,Male,Germany,Geography,History,Bachelors,3,Lecture-based,M.Ed,Full-time,Spanish,4.81,57,True,jeffrey.edwards@example.edu
T00097,Karen Harrington,Non-Binary,Canada,Biology,Chemistry,Bachelors,1,Flipped Classroom,TESOL,Visiting,English,3.57,61,False,karen.harrington@example.edu
T00098,Joseph Cook,Non-Binary,India,English,Biology,Bachelors,25,Flipped Classroom,M.Ed,Visiting,Mandarin,4.19,41,True,joseph.cook@example.edu
T00099,Allen Peterson,Male,France,Biology,Computer Science,PhD,33,Interactive,None,Visiting,Spanish,2.93,42,False,allen.peterson@example.edu
T00100,Regina Jones,Male,UK,Philosophy,History,PhD,25,Project-based,None,Visiting,English,3.47,79,False,regina.jones@example.edu
T00101,Sarah Smith,Non-Binary,France,Economics,Chemistry,Bachelors,19,Lecture-based,B.Ed,Part-time,Mandarin,4.24,7,True,sarah.smith@example.edu
T00102,Laura Castaneda,Non-Binary,USA,Philosophy,Computer Science,Masters,13,Flipped Classroom,B.Ed,Full-time,French,4.25,19,True,laura.castaneda@example.edu
T00103,Hector Lee,Male,Canada,Computer Science,History,Bachelors,16,Lecture-based,TESOL,Part-time,Spanish,3.9,37,False,hector.lee@example.edu
T00104,Aaron Smith,Non-Binary,India,Mathematics,Mathematics,Masters,2,Hybrid,B.Ed,Part-time,German,4.61,77,True,aaron.smith@example.edu
T00105,Brittney Bates,Male,USA,History,Philosophy,PhD,7,Interactive,None,Part-time,Mandarin,2.59,16,True,brittney.bates@example.edu
T00106,Justin Lee,Non-Binary,Canada,Economics,Geography,Bachelors,19,Interactive,None,Full-time,Spanish,2.68,86,False,justin.lee@example.edu
T00107,Jerry Young,Female,France,History,Mathematics,Masters,5,Flipped Classroom,TESOL,Part-time,English,3.03,80,True,jerry.young@example.edu
T00108,Lance Reed,Male,India,English,History,PhD,10,Flipped Classroom,M.Ed,Visiting,English,4.32,15,True,lance.reed@example.edu
T00109,Damon Ward,Male,Germany,Economics,Chemistry,PhD,33,Hybrid,Online Certifications,Full-time,German,4.81,24,True,damon.ward@example.edu
T00110,Rachel Turner,Female,France,Philosophy,Geography,Bachelors,7,Project-based,None,Part-time,English,4.51,12,False,rachel.turner@example.edu
T00111,Christian Garrett,Male,India,Mathematics,Computer Science,Bachelors,36,Project-based,M.Ed,Part-time,Mandarin,4.75,92,False,christian.garrett@example.edu
T00112,Kelly Bishop,Male,UK,English,Physics,Masters,36,Lecture-based,None,Full-time,German,4.0,10,False,kelly.bishop@example.edu
T00113,Charles Edwards,Male,France,Physics,Philosophy,Bachelors,10,Project-based,Online Certifications,Part-time,French,4.67,37,True,charles.edwards@example.edu
T00114,Jeanette Dixon,Non-Binary,Canada,Physics,English,Masters,13,Flipped Classroom,Online Certifications,Full-time,Spanish,4.49,84,True,jeanette.dixon@example.edu
T00115,Wendy Garcia,Male,Australia,Economics,Geography,Masters,20,Hybrid,None,Full-time,German,2.65,34,True,wendy.garcia@example.edu
T00116,Cynthia Miller,Female,USA,Physics,Philosophy,Masters,8,Lecture-based,None,Full-time,English,4.61,75,True,cynthia.miller@example.edu
T00117,Andrea Campbell,Non-Binary,France,History,Chemistry,Bachelors,8,Project-based,Online Certifications,Part-time,English,4.65,36,True,andrea.campbell@example.edu
T00118,Susan Rodriguez,Non-Binary,USA,Computer Science,Chemistry,Masters,14,Flipped Classroom,PGCE,Part-time,Mandarin,4.6,27,True,susan.rodriguez@example.edu
T00119,Marvin Meadows,Male,USA,Philosophy,Economics,PhD,13,Hybrid,TESOL,Full-time,German,3.3,98,True,marvin.meadows@example.edu
T00120,Matthew Stewart,Female,USA,Economics,Mathematics,Masters,20,Project-based,TESOL,Part-time,French,2.7,55,False,matthew.stewart@example.edu
T00121,Jackie Jacobson,Non-Binary,Canada,Biology,Geography,PhD,11,Project-based,TESOL,Part-time,French,4.16,86,True,jackie.jacobson@example.edu
T00122,Christopher Flores,Non-Binary,Canada,Philosophy,Philosophy,PhD,17,Lecture-based,PGCE,Full-time,German,2.7,90,True,christopher.flores@example.edu
T00123,Tracy Clark,Non-Binary,UK,English,Economics,Bachelors,29,Project-based,B.Ed,Full-time,French,2.83,92,False,tracy.clark@example.edu
T00124,Paul Nguyen,Non-Binary,France,Economics,Economics,Bachelors,22,Lecture-based,None,Visiting,English,3.42,20,True,paul.nguyen@example.edu
T00125,Andrew Galloway,Non-Binary,France,Chemistry,Economics,Bachelors,24,Lecture-based,None,Part-time,French,3.2,43,False,andrew.galloway@example.edu
T00126,Martin Bennett,Male,USA,Chemistry,English,Masters,13,Flipped Classroom,None,Full-time,English,3.52,39,False,martin.bennett@example.edu
T00127,Melanie Armstrong,Female,France,Geography,History,Masters,1,Project-based,PGCE,Visiting,Mandarin,2.61,67,False,melanie.armstrong@example.edu
T00128,Joseph Wallace,Female,Australia,Economics,Mathematics,Bachelors,35,Interactive,TESOL,Full-time,Mandarin,4.97,57,True,joseph.wallace@example.edu
T00129,Rita Horn,Male,Australia,Philosophy,Biology,Masters,40,Interactive,M.Ed,Visiting,Spanish,4.46,73,False,rita.horn@example.edu
T00130,Joy Martinez DVM,Male,Australia,Biology,Chemistry,Masters,5,Project-based,PGCE,Full-time,French,4.69,62,False,joy.martinez.dvm@example.edu
T00131,Erin Olson,Male,USA,Chemistry,Computer Science,Bachelors,18,Hybrid,None,Part-time,English,4.11,15,True,erin.olson@example.edu
T00132,Rodney Ruiz,Female,Germany,Geography,Computer Science,Masters,34,Interactive,TESOL,Visiting,Mandarin,3.86,64,False,rodney.ruiz@example.edu
T00133,Maria Lee,Female,UK,English,English,PhD,15,Interactive,M.Ed,Visiting,Spanish,2.97,84,False,maria.lee@example.edu
T00134,Juan Wood,Male,Canada,English,Computer Science,Bachelors,26,Project-based,B.Ed,Part-time,English,2.68,7,True,juan.wood@example.edu
T00135,Barbara Klein,Male,Canada,Mathematics,Biology,Bachelors,24,Interactive,Online Certifications,Visiting,French,4.15,69,True,barbara.klein@example.edu
T00136,Lindsay Mann,Non-Binary,USA,Physics,Economics,PhD,34,Flipped Classroom,B.Ed,Part-time,English,3.83,40,False,lindsay.mann@example.edu
T00137,Edward Alexander,Male,USA,Physics,Geography,Bachelors,28,Interactive,M.Ed,Full-time,Mandarin,3.11,29,False,edward.alexander@example.edu
T00138,Robert Barron,Male,France,Geography,Economics,Masters,6,Project-based,M.Ed,Visiting,German,2.75,35,True,robert.barron@example.edu
T00139,David Lopez II,Female,UK,Computer Science,Biology,PhD,20,Interactive,TESOL,Part-time,German,4.34,52,True,david.lopez.ii@example.edu
T00140,Todd Moss,Female,Australia,Philosophy,Computer Science,Masters,12,Project-based,M.Ed,Visiting,Spanish,3.75,42,True,todd.moss@example.edu
T00141,William Orr,Female,India,History,Computer Science,Masters,2,Lecture-based,M.Ed,Part-time,Spanish,2.75,74,True,william.orr@example.edu
T00142,Brittney Powers,Non-Binary,France,Physics,Biology,PhD,30,Lecture-based,None,Full-time,English,2.86,25,True,brittney.powers@example.edu
T00143,Teresa Alvarez,Female,Canada,Chemistry,Computer Science,Masters,2,Hybrid,None,Visiting,German,4.63,7,True,teresa.alvarez@example.edu
T00144,Tracy Dixon,Non-Binary,Canada,Philosophy,History,Bachelors,24,Lecture-based,None,Part-time,English,4.88,32,True,tracy.dixon@example.edu
T00145,April Thompson,Male,UK,Philosophy,History,Masters,17,Flipped Classroom,PGCE,Visiting,French,3.58,42,True,april.thompson@example.edu
T00146,Brittany Martinez,Non-Binary,USA,Economics,History,Bachelors,2,Lecture-based,TESOL,Full-time,Spanish,3.34,88,False,brittany.martinez@example.edu
T00147,Brittany Chen,Male,UK,English,Economics,PhD,34,Project-based,Online Certifications,Full-time,German,3.84,30,True,brittany.chen@example.edu
T00148,Bradley King,Male,India,Mathematics,Computer Science,PhD,38,Flipped Classroom,None,Full-time,French,4.28,64,False,bradley.king@example.edu
T00149,Crystal Webb,Non-Binary,India,Chemistry,Physics,Masters,3,Flipped Classroom,None,Visiting,Mandarin,3.9,50,False,crystal.webb@example.edu
T00150,Derek Lee,Non-Binary,Germany,English,Mathematics,Masters,39,Flipped Classroom,TESOL,Visiting,Mandarin,3.96,50,True,derek.lee@example.edu
T00151,Chad Williams,Non-Binary,Australia,Geography,Economics,Bachelors,15,Lecture-based,M.Ed,Visiting,Spanish,4.99,20,False,chad.williams@example.edu
T00152,David Brown,Male,Germany,Computer Science,Geography,PhD,25,Hybrid,Online Certifications,Full-time,English,4.79,48,True,david.brown@example.edu
T00153,Jeffrey Cox,Non-Binary,Australia,Chemistry,Physics,PhD,16,Project-based,M.Ed,Full-time,English,3.03,50,True,jeffrey.cox@example.edu
T00154,Jesse Nguyen,Male,Canada,Computer Science,Geography,Masters,12,Flipped Classroom,None,Part-time,German,2.96,80,False,jesse.nguyen@example.edu
T00155,Kimberly Davis,Non-Binary,USA,Mathematics,Philosophy,PhD,26,Lecture-based,TESOL,Part-time,English,3.46,43,False,kimberly.davis@example.edu
T00156,Jose Clark,Female,UK,Physics,Mathematics,PhD,3,Flipped Classroom,Online Certifications,Part-time,French,2.95,65,False,jose.clark@example.edu
T00157,Jennifer Elliott,Female,USA,History,Biology,PhD,19,Interactive,Online Certifications,Part-time,German,4.2,27,True,jennifer.elliott@example.edu
T00158,Christopher Graves,Female,USA,Chemistry,English,Masters,1,Project-based,M.Ed,Visiting,Mandarin,4.15,87,False,christopher.graves@example.edu
T00159,Amber Butler,Non-Binary,France,Economics,History,Bachelors,38,Flipped Classroom,TESOL,Full-time,German,3.73,16,False,amber.butler@example.edu
T00160,Sandy Stephenson,Male,UK,Chemistry,Mathematics,Masters,35,Lecture-based,B.Ed,Visiting,French,4.16,57,False,sandy.stephenson@example.edu
T00161,Heather Smith,Non-Binary,Germany,Physics,Philosophy,Masters,26,Interactive,B.Ed,Full-time,Spanish,4.13,52,True,heather.smith@example.edu
T00162,Janice Blair,Male,UK,Biology,History,Bachelors,20,Lecture-based,Online Certifications,Full-time,Spanish,4.15,29,True,janice.blair@example.edu
T00163,Thomas Freeman,Non-Binary,Australia,Biology,Geography,Bachelors,35,Lecture-based,M.Ed,Visiting,Mandarin,3.71,74,True,thomas.freeman@example.edu
T00164,Bryan Holmes,Male,India,Economics,Computer Science,Masters,19,Flipped Classroom,TESOL,Visiting,Mandarin,3.37,60,False,bryan.holmes@example.edu
T00165,Kaitlin Lee,Male,Germany,Philosophy,Computer Science,PhD,19,Flipped Classroom,M.Ed,Part-time,Mandarin,4.51,44,True,kaitlin.lee@example.edu
T00166,Teresa Parks,Non-Binary,India,English,Mathematics,Masters,37,Flipped Classroom,Online Certifications,Visiting,Mandarin,3.26,13,True,teresa.parks@example.edu
T00167,Colin Lowe,Female,Germany,English,Physics,Masters,22,Interactive,None,Visiting,Spanish,2.56,94,True,colin.lowe@example.edu
T00168,Christopher Harrington,Male,Canada,Computer Science,Chemistry,PhD,10,Hybrid,None,Part-time,German,4.03,47,True,christopher.harrington@example.edu
T00169,Melanie Smith,Non-Binary,UK,Mathematics,Biology,Bachelors,20,Flipped Classroom,TESOL,Part-time,Mandarin,4.0,39,False,melanie.smith@example.edu
T00170,David Espinoza,Female,UK,Geography,Chemistry,Bachelors,8,Flipped Classroom,PGCE,Full-time,English,4.43,23,False,david.espinoza@example.edu
T00171,Sherry Johnson,Non-Binary,Australia,Economics,Physics,Masters,3,Project-based,B.Ed,Full-time,Mandarin,3.2,68,False,sherry.johnson@example.edu
T00172,Jeanette Herring,Female,Germany,Philosophy,Chemistry,Masters,34,Flipped Classroom,M.Ed,Part-time,French,2.62,53,False,jeanette.herring@example.edu
T00173,Kelly Hernandez,Male,India,Physics,Physics,Bachelors,38,Hybrid,TESOL,Part-time,Spanish,4.6,75,False,kelly.hernandez@example.edu
T00174,Charles Harris,Male,USA,English,History,PhD,16,Interactive,TESOL,Part-time,Mandarin,2.64,35,False,charles.harris@example.edu
T00175,Douglas Santos,Non-Binary,Australia,Economics,Geography,Masters,38,Lecture-based,TESOL,Visiting,French,3.9,80,False,douglas.santos@example.edu
T00176,Lori Gonzales,Non-Binary,Australia,Mathematics,English,Bachelors,5,Flipped Classroom,PGCE,Full-time,German,3.67,45,False,lori.gonzales@example.edu
T00177,Stephen Madden DDS,Male,USA,Mathematics,Computer Science,Bachelors,19,Project-based,TESOL,Part-time,English,3.54,30,False,stephen.madden.dds@example.edu
T00178,Mark Johnson,Female,France,Chemistry,Geography,Bachelors,23,Hybrid,Online Certifications,Part-time,English,4.36,19,True,mark.johnson@example.edu
T00179,Scott Buck,Male,Germany,Physics,Economics,Masters,25,Project-based,M.Ed,Part-time,French,3.11,40,False,scott.buck@example.edu
T00180,Dr. Stacey Sharp MD,Female,Canada,History,Physics,Masters,29,Project-based,M.Ed,Part-time,Mandarin,3.75,36,False,dr..stacey.sharp.md@example.edu
T00181,Marilyn Carpenter,Male,Canada,Geography,Chemistry,PhD,25,Interactive,None,Full-time,French,4.34,21,True,marilyn.carpenter@example.edu
T00182,Tamara Reid,Male,India,Computer Science,Biology,PhD,37,Project-based,PGCE,Full-time,French,3.88,42,False,tamara.reid@example.edu
